C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C2:1
C20:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
CAN_LAN1:1
CAN_Recieber1:1
D1:1
Diso_Debug1:1
ENC_conn_0:1
ENC_conn_1:1
ENC_conn_2:1
ENC_conn_3:1
ENC_conn_4:1
ENC_conn_5:1
G***:4
J1:1
J2:1
LED_Blue1:1
LED_Green1:1
LED_Red1:1
Load1:1
Load_5V1:1
Load_Debug1:1
MD_Iso_0:1
MD_Iso_1:1
MD_Iso_2:1
MD_Iso_3:1
MD_Iso_4:1
MD_Iso_5:1
MD_conn_0:1
MD_conn_1:1
MD_conn_2:1
MD_conn_3:1
MD_conn_4:1
MD_conn_5:1
Nucleo-F446RE_1:1
Power1:1
Power_3V3:1
Power_5V1:1
Power_Debug1:1
Q1:1
Q10:1
Q11:1
Q12:1
Q2:1
Q3:1
Q4:1
Q5:1
Q6:1
Q7:1
Q8:1
Q9:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R19:1
R2:1
R20:1
R21:1
R22:1
R23:1
R24:1
R25:1
R26:1
R27:1
R28:1
R29:1
R3:1
R30:1
R31:1
R32:1
R33:1
R34:1
R35:1
R36:1
R37:1
R38:1
R39:1
R4:1
R40:1
R41:1
R42:1
R43:1
R44:1
R45:1
R46:1
R47:1
R48:1
R49:1
R5:1
R50:1
R51:1
R52:1
R53:1
R54:1
R55:1
R56:1
R57:1
R6:1
R60:1
R61:1
R62:1
R63:1
R64:1
R65:1
R66:1
R67:1
R7:1
R8:1
R9:1
REF**:5
SBDBT1:1
SBDBT_Debug1:1
ST0:1
ST1:1
ST2:1
SW1:1
SW2:1
