Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R7,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,76.04,-74.1,180,top
R8,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,89.44,-74.1,180,top
R9,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,102.94,-74.3,180,top
R10,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,117,-74,180,top
R11,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,130.44,-73.9,180,top
R12,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,143.75,-74,180,top
R13,20k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,70.9275,-75.8,180,top
R14,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,70.94,-74,0,top
R15,20k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,84.34,-76,180,top
R16,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,84.44,-74,0,top
R17,20k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,98.34,-76,180,top
R18,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,98.34,-73.9,0,top
R19,20k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,112.14,-76.2,180,top
R20,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,112.04,-74,0,top
R21,20k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,125.04,-76.3,180,top
R22,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,125.14,-74,0,top
R23,20k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,138.74,-76.1,180,top
R24,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,138.94,-74,0,top
R25,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,79.44,-76,180,top
R26,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,70.94,-78.1,180,top
R27,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,84.34,-78.1,180,top
R28,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,98.44,-78.1,0,top
R29,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,112.14,-78.3,180,top
R30,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,124.94,-78.2,180,top
